block_number,old_block_id,new_block_id,old_block_hash,new_block_hash,body_identical,hash_match
60,seal-C-343-060,seal-C-343-060,sha256:220a488ba7618b9bbd059d50656e449903f13c94c7b37559a7579ec7650a85eb,sha256:8756b7a31493a300fe8dd1ce95ab90f210619c62979790602de26234ec41d04e,True,False
61,seal-C-343-061,seal-C-343-061,sha256:59a5b9337dbebf8f45dfd25716eb8e9aca27f7e8ec576be1b029d05ce568a56b,sha256:798f17a6022d35a7ede9258457c1ee079c1893f8205905eb87f3787a9c0367b2,True,False
62,seal-C-343-062,seal-C-343-062,sha256:4fea1e349e2a4f4c4953bc1b6b6fcf220fef04dc954d6b06e307f8602988e304,sha256:c00148ee6927f0ba6dd2daa1fd2719e91ccb0c627282859e0001d26858c6579f,True,False
63,seal-C-343-063,seal-C-343-063,sha256:82f33a979245d1e72d39c54736f1ec818db7b16fc732d33b233de89011e3a3b1,sha256:ff44265a8f0da4010e42cb77e976179eca4d3283c5c6fdb463e13eee543507c7,True,False
64,seal-C-343-064,seal-C-343-064,sha256:fd7ba2827776bc3122439139f8765dbf3b2a0c79f7c0a196df821bf2a6ae6b56,sha256:050fb7f6797e0d27fb50a9ecb18e396b4957f17fc5b1c77d1e85a1d509ad2f8b,True,False
65,seal-C-343-065,seal-C-343-065,sha256:eea06d9a415b03e97572c908cf1b63c14348ba536deee31a06b5fe987c51c851,sha256:0750f13aaab567b7ca0113c099d6d6e059e5da40789ff4f1ac35c824fc894ea3,True,False
66,seal-C-344-066,seal-C-344-066,sha256:44de57c2da4bb7ce579763d1f53f68ec8190659e503845a17ce351ae71e182ee,sha256:67a731c93b158b9bb6cf89e17364967607ceff513985b0493caef048aca349b6,True,False
67,seal-C-344-067,seal-C-344-067,sha256:81e68536169d4ec0fc96c1b17fbfa5f0c7f04f197c78b69d42ae5526db0ce6c1,sha256:a8a0c411d6d71c7e7fc41eb0bbf03d834c3b8a46cf83d4caa739c1ae571b01ea,True,False
68,seal-C-344-068,seal-C-344-068,sha256:4d698eaccbef250989d9c1d3c94d5b67f2e7fb2a775d1b54c781ca598f59c13e,sha256:bf774a1c5ee15ee711c37b501444326630dcb682e3ac3eb8ef4907bf847063f6,True,False
69,seal-C-344-069,seal-C-344-069,sha256:5fd41887f2a8ff0fae61d0d740b38d8ee23ad8fab40cf06e46f6c6c3d4893fa9,sha256:402eb76cd222425c1866576dcb36c3769dc63b27f9d77826a591ba284df11f37,True,False
70,seal-C-344-070,seal-C-344-070,sha256:247a11146ddb11e01d6e45f7e1ea5a32e0ccafe2fab7e0fdaaece93f78b1bd05,sha256:d5c84f8ab2cfaedb39c999327a6d1b80a8faad031b77f33d86b9c9e0385f9843,True,False
71,seal-C-344-071,seal-C-344-071,sha256:abe2146eff12e1ba3ca7c20e4706cb32a05b1f76e145c45c5da1d7b1d32bd1fc,sha256:8d49f7edcc28c8c63ff34b8053b051d882529fc47636a00017632b1a5e327090,True,False
72,seal-C-345-072,seal-C-345-072,sha256:e3f46c7c4a0475fae7e9c670612002231beb142260661494d7afff58a7e56cff,sha256:73b77bd656c25d5196b011326e57a8e3b0913dc5a91039ce6bae871c479f90e1,True,False
73,seal-C-345-073,seal-C-345-073,sha256:218976a7e3f1f3d6d1cd56676b9f312a4174271aa07454a1bdbf0ce58e3b4499,sha256:2b3bb2fccb6d637cdae7f4a31a892592c2c8484ecb91f7b59c78495b746713d2,True,False
74,seal-C-345-074,seal-C-345-074,sha256:bfb730c56e44bc9a5845fbaca93b371b7d84fe02242080d9dac4d0bd07d001d8,sha256:681ac9e7c01aa87d2aa0aea851ddc9c1e1fd53f1380931b0df359aad29e68fd1,True,False
